56,1,1,4,20,20,20,1,1,1,261,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
57,2,1,2,9,20,20,1,1,1,149,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
37,2,1,2,20,21,20,1,1,1,226,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
40,6,1,6,20,20,20,1,1,1,151,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
56,2,1,2,20,20,21,1,1,1,307,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
45,2,1,1,9,20,20,1,1,1,198,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
59,6,1,5,20,20,20,1,1,1,139,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
41,4,1,9,9,20,20,1,1,1,217,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
24,7,2,5,20,21,20,1,1,1,380,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
25,2,2,2,20,21,20,1,1,1,50,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
41,4,1,9,9,20,20,1,1,1,55,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
25,2,2,2,20,21,20,1,1,1,222,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
29,4,2,2,20,20,21,1,1,1,137,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
57,1,3,4,20,21,20,1,1,1,293,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
35,4,1,6,20,21,20,1,1,1,146,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
54,11,1,1,9,21,21,1,1,1,174,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
35,4,1,6,20,21,20,1,1,1,312,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
46,4,1,6,9,21,21,1,1,1,440,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
50,4,1,1,20,21,21,1,1,1,353,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
39,3,2,1,9,20,20,1,1,1,195,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
30,5,1,2,20,20,20,1,1,1,38,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
55,4,1,4,9,21,20,1,1,1,262,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
55,11,2,2,20,21,20,1,1,1,342,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
41,7,2,2,20,21,20,1,1,1,181,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
37,6,1,2,20,21,20,1,1,1,172,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
35,7,1,3,20,20,21,1,1,1,99,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
59,7,1,9,20,21,20,1,1,1,93,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
39,10,1,1,9,20,20,1,1,1,233,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
54,7,2,3,9,20,20,1,1,1,255,2,999,0,0,1.1,93.994,-36.4,4.857,5191,20
55,9,1,3,9,9,9,1,1,1,362,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
46,6,1,9,20,20,20,1,1,1,348,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
59,7,1,9,20,21,20,1,1,1,386,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
49,4,1,9,20,20,20,1,1,1,73,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
54,3,1,4,9,21,20,1,1,1,230,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
54,4,3,4,20,20,20,1,1,1,208,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
55,9,1,4,9,21,20,1,1,1,336,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
34,2,1,2,20,20,20,1,1,1,365,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
52,7,1,1,20,21,20,1,1,1,1666,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
41,6,1,3,20,21,20,1,1,1,577,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
56,7,1,4,20,21,20,1,1,1,137,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
58,3,9,3,20,21,20,1,1,1,366,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
32,8,1,2,20,21,20,1,1,1,314,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
38,6,2,5,20,20,20,1,1,1,160,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
57,6,1,3,20,20,21,1,1,1,212,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
44,6,1,3,9,21,20,1,1,1,188,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
42,7,2,5,9,20,20,1,1,1,22,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
57,6,1,3,20,21,21,1,1,1,616,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
40,4,1,1,20,20,21,1,1,1,178,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
35,6,1,3,20,21,20,1,1,1,355,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
45,4,1,1,20,21,20,1,1,1,225,2,999,0,0,1.1,93.994,-36.4,4.857,5191,20
54,6,1,2,20,20,20,1,1,1,160,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
39,1,1,4,20,20,21,1,1,1,266,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
60,6,1,2,20,20,20,1,1,1,253,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
53,6,2,5,20,20,20,1,1,1,179,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
55,4,1,4,9,20,20,1,1,1,269,2,999,0,0,1.1,93.994,-36.4,4.857,5191,20
55,7,1,5,9,21,20,1,1,1,135,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
50,3,1,3,9,20,21,1,1,1,161,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
45,2,1,2,9,21,20,1,1,1,787,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
55,5,1,5,9,21,21,1,1,1,145,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
25,7,2,3,20,21,20,1,1,1,174,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
47,8,1,3,9,20,20,1,1,1,449,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
51,4,1,1,20,21,20,1,1,1,812,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
42,4,1,6,9,21,20,1,1,1,164,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
42,4,1,6,9,20,20,1,1,1,366,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
48,6,1,2,20,20,20,1,1,1,357,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
37,6,1,3,20,20,20,1,1,1,232,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
44,4,2,1,20,21,20,1,1,1,91,1,999,0,0,1.1,93.994,-36.4,4.857,5191,20
